Fund Holdings as of,"06/Aug/2026"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"ASML","ASML HOLDING","Information Technology","Equity","58,800,852.00","8.64","58,800,852.00","39,358.00","1,494.00","Netherlands","Euronext Amsterdam","EUR"
"ALV","ALLIANZ","Financials","Equity","31,854,677.40","4.68","31,854,677.40","72,282.00","440.70","Germany","Xetra","EUR"
"ABBN","ABB LTD","Industrials","Equity","28,285,980.67","4.16","28,285,980.67","321,146.00","88.08","Switzerland","SIX Swiss Exchange","CHF"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrials","Equity","23,703,167.45","3.48","23,703,167.45","1,324,177.00","17.90","United Kingdom","London Stock Exchange","GBP"
"NESN","NESTLE SA","Consumer Staples","Equity","20,633,526.83","3.03","20,633,526.83","237,729.00","86.79","Switzerland","SIX Swiss Exchange","CHF"
"ROP","ROCHE PS PAR AG","Health Care","Equity","20,311,635.26","2.99","20,311,635.26","52,053.00","390.21","Switzerland","SIX Swiss Exchange","CHF"
"NOVN","NOVARTIS AG","Health Care","Equity","20,186,209.98","2.97","20,186,209.98","150,715.00","133.94","Switzerland","SIX Swiss Exchange","CHF"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","20,041,632.28","2.95","20,041,632.28","31,802.00","630.20","Switzerland","SIX Swiss Exchange","CHF"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","17,937,309.61","2.64","17,937,309.61","326,305.00","54.97","United Kingdom","London Stock Exchange","GBP"
"AZN","ASTRAZENECA PLC","Health Care","Equity","16,871,961.57","2.48","16,871,961.57","121,967.00","138.33","United Kingdom","London Stock Exchange","GBP"
"IBE","IBERDROLA","Utilities","Equity","15,525,910.40","2.28","15,525,910.40","749,320.00","20.72","Spain","Bolsa De Madrid","EUR"
"SHEL","SHELL PLC","Energy","Equity","15,399,285.01","2.26","15,399,285.01","397,935.00","38.70","United Kingdom","London Stock Exchange","GBP"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","14,287,878.64","2.10","14,287,878.64","363,796.00","39.27","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"TTE","TOTALENERGIES","Energy","Equity","13,592,219.92","2.00","13,592,219.92","182,348.00","74.54","France","Nyse Euronext - Euronext Paris","EUR"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Equity","12,768,685.80","1.88","12,768,685.80","24,433.00","522.60","Germany","Xetra","EUR"
"RIO","RIO TINTO PLC","Materials","Equity","12,231,141.48","1.80","12,231,141.48","140,507.00","87.05","United Kingdom","London Stock Exchange","GBP"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","12,136,139.64","1.78","12,136,139.64","70,062.00","173.22","France","Nyse Euronext - Euronext Paris","EUR"
